"Date","O18"
1871-01-15,-4.97832059860229
1871-02-15,-2.9308385848999
1871-03-15,-3.48959398269653
1871-04-15,-3.96434497833252
1871-05-15,-5.60029172897339
1871-06-15,-4.04069137573242
1871-07-15,-5.45357894897461
1871-08-15,-6.04144239425659
1871-09-15,-5.38259935379028
1871-10-15,-4.38886117935181
1871-11-15,-3.68946146965027
1871-12-15,-3.77049994468689
1872-01-15,-4.59998035430908
1872-02-15,-5.023353099823
1872-03-15,-2.81747698783875
1872-04-15,-4.0418119430542
1872-05-15,-5.14968204498291
1872-06-15,-5.30597925186157
1872-07-15,-6.36349248886108
1872-08-15,-6.47393608093262
1872-09-15,-3.97222232818604
1872-10-15,-2.34403276443481
1872-11-15,-1.67205953598022
1872-12-15,-3.70051312446594
1873-01-15,-5.6687331199646
1873-02-15,-2.53714680671692
1873-03-15,-5.40447092056274
1873-04-15,-4.99173021316528
1873-05-15,-4.41018009185791
1873-06-15,-6.51560974121094
1873-07-15,-5.86203908920288
1873-08-15,-6.01263618469238
1873-09-15,-5.70189142227173
1873-10-15,-5.37831211090088
1873-11-15,-2.22702956199646
1873-12-15,-3.30881881713867
1874-01-15,-4.00320482254028
1874-02-15,-7.46805810928345
1874-03-15,-4.31348657608032
1874-04-15,-4.68076944351196
1874-05-15,-5.31490707397461
1874-06-15,-5.36770820617676
1874-07-15,-7.65146350860596
1874-08-15,-7.12261915206909
1874-09-15,-5.60711717605591
1874-10-15,-5.56485271453857
1874-11-15,-3.82520508766174
1874-12-15,-3.68586373329163
1875-01-15,-3.26386260986328
1875-02-15,-3.86814665794373
1875-03-15,-3.57484984397888
1875-04-15,-3.46915197372437
1875-05-15,-5.75624084472656
1875-06-15,-5.41215372085571
1875-07-15,-6.28411531448364
1875-08-15,-6.5177321434021
1875-09-15,-5.78930568695068
1875-10-15,-2.74704504013062
1875-11-15,-4.47038793563843
1875-12-15,-6.2045578956604
1876-01-15,-2.72876143455505
1876-02-15,-4.9889760017395
1876-03-15,-3.2998960018158
1876-04-15,-3.98218178749084
1876-05-15,-4.92134618759155
1876-06-15,-5.75329399108887
1876-07-15,-5.18241739273071
1876-08-15,-6.39572715759277
1876-09-15,-6.41598606109619
1876-10-15,-4.50822067260742
1876-11-15,-5.08225297927856
1876-12-15,-2.43360209465027
1877-01-15,-3.1537754535675
1877-02-15,-2.31450271606445
1877-03-15,-4.19274139404297
1877-04-15,-4.7833251953125
1877-05-15,-5.38519906997681
1877-06-15,-6.45446872711182
1877-07-15,-5.73486852645874
1877-08-15,-4.7637414932251
1877-09-15,-4.73988008499146
1877-10-15,-4.03040790557861
1877-11-15,-0.869289994239807
1877-12-15,-4.74574518203735
1878-01-15,-3.53124070167542
1878-02-15,-3.79886507987976
1878-03-15,-4.07577896118164
1878-04-15,-3.93799591064453
1878-05-15,-5.7116813659668
1878-06-15,-6.11591482162476
1878-07-15,-6.36524343490601
1878-08-15,-7.36761808395386
1878-09-15,-6.10755777359009
1878-10-15,-3.35411691665649
1878-11-15,-3.27267742156982
1878-12-15,-3.06872129440308
1879-01-15,-3.92463946342468
1879-02-15,-3.79962968826294
1879-03-15,-3.54033851623535
1879-04-15,-3.57319164276123
1879-05-15,-6.08847713470459
1879-06-15,-6.51462030410767
1879-07-15,-6.68501710891724
1879-08-15,-5.45292234420776
1879-09-15,-4.48488140106201
1879-10-15,-4.71443843841553
1879-11-15,-3.4597487449646
1879-12-15,-2.5958993434906
1880-01-15,-3.74113321304321
1880-02-15,-4.13119840621948
1880-03-15,-4.24364471435547
1880-04-15,-5.23706912994385
1880-05-15,-5.91075038909912
1880-06-15,-5.97038555145264
1880-07-15,-5.69072532653809
1880-08-15,-5.7282543182373
1880-09-15,-4.78553199768066
1880-10-15,-4.91564035415649
1880-11-15,-4.09179306030273
1880-12-15,-3.75329613685608
1881-01-15,-4.38151121139526
1881-02-15,-4.4841685295105
1881-03-15,-4.15463876724243
1881-04-15,-6.0387921333313
1881-05-15,-4.35073804855347
1881-06-15,-5.60586309432983
1881-07-15,-5.45672130584717
1881-08-15,-6.32588148117065
1881-09-15,-4.65913963317871
1881-10-15,-4.48907566070557
1881-11-15,-2.60699439048767
1881-12-15,-3.74236226081848
1882-01-15,-4.47848463058472
1882-02-15,-4.07116174697876
1882-03-15,-4.38597965240479
1882-04-15,-3.86103391647339
1882-05-15,-5.39559078216553
1882-06-15,-4.91083526611328
1882-07-15,-6.02182960510254
1882-08-15,-5.38740968704224
1882-09-15,-4.67767858505249
1882-10-15,-3.99674510955811
1882-11-15,-4.82367038726807
1882-12-15,-3.83596205711365
1883-01-15,-5.29152393341064
1883-02-15,-3.77427816390991
1883-03-15,-4.72105836868286
1883-04-15,-4.37146472930908
1883-05-15,-3.7365550994873
1883-06-15,-7.10726547241211
1883-07-15,-6.63184356689453
1883-08-15,-5.79127836227417
1883-09-15,-5.5262885093689
1883-10-15,-5.60627269744873
1883-11-15,-5.28149509429932
1883-12-15,-2.7843930721283
1884-01-15,-4.12211275100708
1884-02-15,-3.52196407318115
1884-03-15,-4.21462106704712
1884-04-15,-3.3917064666748
1884-05-15,-5.17727470397949
1884-06-15,-5.57138586044312
1884-07-15,-6.05613374710083
1884-08-15,-6.87438344955444
1884-09-15,-5.3730993270874
1884-10-15,-4.86723899841309
1884-11-15,-3.63463997840881
1884-12-15,-5.16256189346313
1885-01-15,-1.88099217414856
1885-02-15,-3.24744820594788
1885-03-15,-4.18866920471191
1885-04-15,-4.43328046798706
1885-05-15,-5.65255880355835
1885-06-15,-4.44885778427124
1885-07-15,-6.98979806900024
1885-08-15,-5.47360515594482
1885-09-15,-4.84119558334351
1885-10-15,-5.28096914291382
1885-11-15,-5.05138635635376
1885-12-15,-5.19874286651611
1886-01-15,-4.99290561676025
1886-02-15,-3.47870302200317
1886-03-15,-4.64467668533325
1886-04-15,-5.46264266967773
1886-05-15,-5.58091449737549
1886-06-15,-5.94268417358398
1886-07-15,-6.72518253326416
1886-08-15,-5.15448045730591
