Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",197901,Water - Precipitation - unspecified (not reported),1/15/1979,1/1/1979,1/31/1979,,,,,,,,,,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",197902,Water - Precipitation - rain,2/15/1979,2/1/1979,2/28/1979,,,,,,,,,46,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",197903,Water - Precipitation - rain,3/15/1979,3/1/1979,3/31/1979,,,,,,,,,64,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",197904,Water - Precipitation - rain,4/15/1979,4/1/1979,4/30/1979,,,,,,,,,51,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",197905,Water - Precipitation - rain,5/15/1979,5/1/1979,5/31/1979,,,,,,,,,86,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",197906,Water - Precipitation - rain,6/15/1979,6/1/1979,6/30/1979,,,,,,,,,130,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",197907,Water - Precipitation - rain,7/15/1979,7/1/1979,7/31/1979,,,,,,,,,68,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",197908,Water - Precipitation - rain,8/15/1979,8/1/1979,8/31/1979,,,,,,,,,133,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",197909,Water - Precipitation - rain,9/15/1979,9/1/1979,9/30/1979,,-5.61,International Atomic Energy Agency,-27.1,International Atomic Energy Agency,10,0.5,Institute of Geological and Nuclear Sciences,180,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",197910,Water - Precipitation - rain,10/15/1979,10/1/1979,10/31/1979,,-4.21,International Atomic Energy Agency,-18.3,International Atomic Energy Agency,10.2,0.5,Institute of Geological and Nuclear Sciences,118,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",197911,Water - Precipitation - rain,11/15/1979,11/1/1979,11/30/1979,,-2.4,International Atomic Energy Agency,-3.9,International Atomic Energy Agency,12.1,0.6,Institute of Geological and Nuclear Sciences,74,,
GNIP,GNIP/M/AU/01,CAPE GRIM (TASMANIA),AU,9495400,-40.68,144.69,90,Precipitation collectors - unknown,"Partner: Australian Atomic Energy Comission (AAEC - historical|Partner: Commonwealth Scientific, Industrial and Research Organisation (CSIRO - historical)|Partner: Australian Nuclear Science and Technology Organization (ANSTO)|Partner: Bureau of Meteorology (BOM)|Reference: Tadros et al. 2014",197912,Water - Precipitation - rain,12/15/1979,12/1/1979,12/31/1979,,-3.36,International Atomic Energy Agency,-16.2,International Atomic Energy Agency,4.3,0.3,Institute of Geological and Nuclear Sciences,53,,
